scen,field,fieldType,cad,sl
# zcomplete=0.80
DDF_DESC_0.80_WZ_0.1,DD:COSMOS,UD,2,180
DDF_DESC_0.80_WZ_0.1,DD:XMM_LSS,UD,2,180
DDF_DESC_0.80_WZ_0.1,DD:ECDFS,DD,3,180
DDF_DESC_0.80_WZ_0.1,DD:ELAISS1,DD,3,180
DDF_DESC_0.80_WZ_0.1,DD:EDFS_a,DD,3,180
DDF_DESC_0.80_WZ_0.1,DD:EDFS_b,DD,3,180
#
DDF_DESC_0.80_SN_0.1,DD:COSMOS,UD,2,180
DDF_DESC_0.80_SN_0.1,DD:XMM_LSS,UD,2,180
DDF_DESC_0.80_SN_0.1,DD:ECDFS,DD,3,180
DDF_DESC_0.80_SN_0.1,DD:ELAISS1,DD,3,180
DDF_DESC_0.80_SN_0.1,DD:EDFS_a,DD,3,180
DDF_DESC_0.80_SN,_0.1DD:EDFS_b,DD,3,180
#
DDF_DESC_0.80_co_0.1,DD:COSMOS,UD,2,180
DDF_DESC_0.80_co_0.1,DD:XMM_LSS,UD,2,180
DDF_DESC_0.80_co_0.1,DD:ECDFS,DD,3,180
DDF_DESC_0.80_co_0.1,DD:ELAISS1,DD,3,180
DDF_DESC_0.80_co_0.1,DD:EDFS_a,DD,3,180
DDF_DESC_0.80_co_0.1,DD:EDFS_b,DD,3,180

# zcomplete = 0.75
DDF_DESC_0.75_WZ_0.1,DD:COSMOS,UD,2,180
DDF_DESC_0.75_WZ_0.1,DD:XMM_LSS,UD,2,180
DDF_DESC_0.75_WZ_0.1,DD:ECDFS,DD,3,180
DDF_DESC_0.75_WZ_0.1,DD:ELAISS1,DD,3,180
DDF_DESC_0.75_WZ_0.1,DD:EDFS_a,DD,3,180
DDF_DESC_0.75_WZ_0.1,DD:EDFS_b,DD,3,180
#
DDF_DESC_0.75_SN_0.1,DD:COSMOS,UD,2,180
DDF_DESC_0.75_SN_0.1,DD:XMM_LSS,UD,2,180
DDF_DESC_0.75_SN_0.1,DD:ECDFS,DD,3,180
DDF_DESC_0.75_SN_0.1,DD:ELAISS1,DD,3,180
DDF_DESC_0.75_SN_0.1,DD:EDFS_a,DD,3,180
DDF_DESC_0.75_SN_0.1,DD:EDFS_b,DD,3,180
#
DDF_DESC_0.75_co_0.1,DD:COSMOS,UD,2,180
DDF_DESC_0.75_co_0.1,DD:XMM_LSS,UD,2,180
DDF_DESC_0.75_co_0.1,DD:ECDFS,DD,3,180
DDF_DESC_0.75_co_0.1,DD:ELAISS1,DD,3,180
DDF_DESC_0.75_co,_0.1DD:EDFS_a,DD,3,180
DDF_DESC_0.75_co_0.1,DD:EDFS_b,DD,3,180

# zcomplete = 0.70
DDF_DESC_0.70_WZ_0.1,DD:COSMOS,UD,2,180
DDF_DESC_0.70_WZ_0.1,DD:XMM_LSS,UD,2,180
DDF_DESC_0.70_WZ_0.1,DD:ECDFS,DD,3,180
DDF_DESC_0.70_WZ_0.1,DD:ELAISS1,DD,3,180
DDF_DESC_0.70_WZ_0.1,DD:EDFS_a,DD,3,180
DDF_DESC_0.70_WZ_0.1,DD:EDFS_b,DD,3,180
#
DDF_DESC_0.70_SN_0.1,DD:COSMOS,UD,2,180
DDF_DESC_0.70_SN_0.1,DD:XMM_LSS,UD,2,180
DDF_DESC_0.70_SN_0.1,DD:ECDFS,DD,3,180
DDF_DESC_0.70_SN_0.1,DD:ELAISS1,DD,3,180
DDF_DESC_0.70_SN_0.1,DD:EDFS_a,DD,3,180
DDF_DESC_0.70_SN_0.1,DD:EDFS_b,DD,3,180
#
DDF_DESC_0.70_co_0.1,DD:COSMOS,UD,2,180
DDF_DESC_0.70_co_0.1,DD:XMM_LSS,UD,2,180
DDF_DESC_0.70_co_0.1,DD:ECDFS,DD,3,180
DDF_DESC_0.70_co_0.1,DD:ELAISS1,DD,3,180
DDF_DESC_0.70_co_0.1,DD:EDFS_a,DD,3,180
DDF_DESC_0.70_co_0.1,DD:EDFS_b,DD,3,180
# SCOC_pII
DDF_SCOC_pII_0.1,DD:COSMOS,UD,2,180
DDF_SCOC_pII_0.1,DD:XMM_LSS,DD,3,180
DDF_SCOC_pII_0.1,DD:ECDFS,DD,3,180
DDF_SCOC_pII_0.1,DD:ELAISS1,DD,3,180
DDF_SCOC_pII_0.1,DD:EDFS_a,DD,3,180
DDF_SCOC_pII_0.1,DD:EDFS_b,DD,3,180
# Univ_SN
DDF_Univ_SN_0.1,DD:COSMOS,DD,3,180
DDF_Univ_SN_0.1,DD:XMM_LSS,DD,3,180
DDF_Univ_SN_0.1,DD:ECDFS,DD,3,180
DDF_Univ_SN_0.1,DD:ELAISS1,DD,3,180
DDF_Univ_SN_0.1,DD:EDFS_a,DD,3,180
DDF_Univ_SN,_0.1DD:EDFS_b,DD,3,180
# Univ_WZ
DDF_Univ_WZ_0.1,DD:COSMOS,DD,3,180
DDF_Univ_WZ_0.1,DD:XMM_LSS,DD,3,180
DDF_Univ_WZ_0.1,DD:ECDFS,DD,3,180
DDF_Univ_WZ_0.1,DD:ELAISS1,DD,3,180
DDF_Univ_WZ_0.1,DD:EDFS_a,DD,3,180
DDF_Univ_WZ_0.1,DD:EDFS_b,DD,3,180
