dbName,color,ls,marker,dbNamePlot
DDF_DESC_0.80_WZ,r,solid,o,DDF_DESC_0.80_WZ
DDF_DESC_0.80_SN,r,dashed,s,DDF_DESC_0.80_SN
DDF_DESC_0.80_co,r,dotted,h,DDF_DESC_0.80_co
DDF_DESC_0.75_WZ,b,solid,o,DDF_DESC_0.75_WZ
DDF_DESC_0.75_SN,b,dashed,s,DDF_DESC_0.75_SN
DDF_DESC_0.75_co,b,dotted,h,DDF_DESC_0.75_co
DDF_DESC_0.70_WZ,k,solid,o,DDF_DESC_0.70_WZ
DDF_DESC_0.70_SN,k,dashed,s,DDF_DESC_0.70_SN
DDF_DESC_0.70_co,k,dotted,h,DDF_DESC_0.70_co
DDF_SCOC_pII,g,solid,o,DDF_SCOC_p2
DDF_Univ_SN,m,dashed,^,DDF_Univ_SN
DDF_Univ_WZ,orange,dotted,v,DDF_Univ_WZ
