name,year,fieldType,cad,sl,level_5,u,g,r,i,z,y,budget_DD
DDF_DESC_0.65_SN,1,DD,3,180,0,19,3,3,3,3,4,0.05
DDF_DESC_0.65_SN,1,UD,3,180,0,19,3,3,3,3,4,0.05
DDF_DESC_0.65_SN,2,DD,3,180,0,10,1,2,3,3,5,0.05
DDF_DESC_0.65_SN,2,UD,2,180,0,6,4,18,32,32,4,0.05
DDF_DESC_0.65_SN,3,DD,3,180,0,10,1,2,3,3,5,0.05
DDF_DESC_0.65_SN,3,UD,2,180,0,6,4,18,32,32,4,0.05
DDF_DESC_0.65_SN,4,DD,3,180,0,10,1,2,3,3,5,0.05
DDF_DESC_0.65_SN,4,UD,2,180,0,6,4,18,32,32,4,0.05
DDF_DESC_0.65_SN,5,DD,3,180,0,10,1,2,3,3,5,0.05
DDF_DESC_0.65_SN,5,UD,2,180,0,6,4,18,32,32,4,0.05
DDF_DESC_0.65_SN,6,DD,3,180,0,10,1,2,3,3,5,0.05
DDF_DESC_0.65_SN,6,UD,3,180,0,10,1,2,3,3,5,0.05
DDF_DESC_0.65_SN,7,DD,3,180,0,10,1,2,3,3,5,0.05
DDF_DESC_0.65_SN,7,UD,3,180,0,10,1,2,3,3,5,0.05
DDF_DESC_0.65_SN,8,DD,3,180,0,10,1,2,3,3,5,0.05
DDF_DESC_0.65_SN,8,UD,3,180,0,10,1,2,3,3,5,0.05
DDF_DESC_0.65_SN,9,DD,3,180,0,10,1,2,3,3,5,0.05
DDF_DESC_0.65_SN,9,UD,3,180,0,10,1,2,3,3,5,0.05
DDF_DESC_0.65_SN,10,DD,3,180,0,10,1,2,3,3,5,0.05
DDF_DESC_0.65_SN,10,UD,3,180,0,10,1,2,3,3,5,0.05
DDF_DESC_0.65_WZ,1,DD,3,180,0,19,3,3,3,3,4,0.05
DDF_DESC_0.65_WZ,1,UD,3,180,0,19,3,3,3,3,4,0.05
DDF_DESC_0.65_WZ,2,DD,3,180,0,16,2,4,5,5,8,0.05
DDF_DESC_0.65_WZ,2,UD,2,180,0,11,4,18,17,18,2,0.05
DDF_DESC_0.65_WZ,3,DD,3,180,0,16,2,4,5,5,8,0.05
DDF_DESC_0.65_WZ,3,UD,2,180,0,11,4,18,17,18,2,0.05
DDF_DESC_0.65_WZ,4,DD,3,180,0,16,2,4,5,5,8,0.05
DDF_DESC_0.65_WZ,4,UD,2,180,0,11,4,18,17,18,2,0.05
DDF_DESC_0.65_WZ,5,DD,3,180,0,16,2,4,5,5,8,0.05
DDF_DESC_0.65_WZ,5,UD,2,180,0,11,4,18,17,18,2,0.05
DDF_DESC_0.65_WZ,6,DD,3,180,0,16,2,4,5,5,8,0.05
DDF_DESC_0.65_WZ,6,UD,3,180,0,16,2,4,5,5,8,0.05
DDF_DESC_0.65_WZ,7,DD,3,180,0,16,2,4,5,5,8,0.05
DDF_DESC_0.65_WZ,7,UD,3,180,0,16,2,4,5,5,8,0.05
DDF_DESC_0.65_WZ,8,DD,3,180,0,16,2,4,5,5,8,0.05
DDF_DESC_0.65_WZ,8,UD,3,180,0,16,2,4,5,5,8,0.05
DDF_DESC_0.65_WZ,9,DD,3,180,0,16,2,4,5,5,8,0.05
DDF_DESC_0.65_WZ,9,UD,3,180,0,16,2,4,5,5,8,0.05
DDF_DESC_0.65_WZ,10,DD,3,180,0,16,2,4,5,5,8,0.05
DDF_DESC_0.65_WZ,10,UD,3,180,0,16,2,4,5,5,8,0.05
DDF_DESC_0.65_co,1,DD,3,180,0,19,3,3,3,3,4,0.05
DDF_DESC_0.65_co,1,UD,3,180,0,19,3,3,3,3,4,0.05
DDF_DESC_0.65_co,2,DD,3,180,0,13,2,3,4,4,6,0.05
DDF_DESC_0.65_co,2,UD,2,180,0,9,4,18,24,26,2,0.05
DDF_DESC_0.65_co,3,DD,3,180,0,13,2,3,4,4,6,0.05
DDF_DESC_0.65_co,3,UD,2,180,0,9,4,18,24,26,2,0.05
DDF_DESC_0.65_co,4,DD,3,180,0,13,2,3,4,4,6,0.05
DDF_DESC_0.65_co,4,UD,2,180,0,9,4,18,24,26,2,0.05
