target,season,u,g,r,i,z,y,season_seq
# Ultra-Deep Fields
UD,1,19,3,3,3,3,4,75
UD,2,8,4,18,106,95,35,110
UD,3,8,4,18,106,95,35,110
UD,4,12,2,3,4,4,6,75
UD,5,12,2,3,4,4,6,75
UD,6,12,2,3,4,4,6,75
UD,7,12,2,3,4,4,6,75
UD,8,12,2,3,4,4,6,75
UD,9,12,2,3,4,4,6,75
UD,10,12,2,3,4,4,6,75
#Deep fields
DF,1,19,3,3,3,3,4,75
DF,2,12,2,3,4,4,6,75
DF,3,12,2,3,4,4,6,75
DF,4,12,2,3,4,4,6,75
DF,5,12,2,3,4,4,6,75
DF,6,12,2,3,4,4,6,75
DF,7,12,2,3,4,4,6,75
DF,8,12,2,3,4,4,6,75
DF,9,12,2,3,4,4,6,75
DF,10,12,2,3,4,4,6,75
